ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
203040_s_at,HMBS,3145,1
203044_at,CHSY1,22856,1
203058_s_at,PAPSS2,9060,1
203059_s_at,PAPSS2,9060,1
203060_s_at,PAPSS2,9060,1
203067_at,PDHX,8050,1
203115_at,FECH,2235,0
203116_s_at,FECH,2235,1
203123_s_at,SLC11A2,4891,1
203124_s_at,SLC11A2,4891,1
203125_x_at,SLC11A2,4891,0
203126_at,IMPA2,3613,1
203127_s_at,SPTLC2,9517,1
203128_at,SPTLC2,9517,0
203155_at,SETDB1,9869,1
203157_s_at,GLS,2744,1
203158_s_at,GLS,2744,1
203159_at,GLS,2744,1
203164_at,SLC33A1,9197,1
203165_s_at,SLC33A1,9197,1
203178_at,GATM,2628,0
203179_at,GALT,2592,1
203180_at,ALDH1A3,220,1
203191_at,ABCB6,10058,0
203192_at,ABCB6,10058,0
203196_at,ABCC4,10257,1
203201_at,PMM2,5373,1
203211_s_at,MTMR2,8898,1
203212_s_at,MTMR2,8898,1
203217_s_at,ST3GAL5,8869,1
203219_s_at,APRT,353,1
203224_at,RFK,55312,1
203225_s_at,RFK,55312,1
203228_at,PAFAH1B3,5050,1
203234_at,UPP1,7378,1
203253_s_at,PPIP5K2,23262,1
203270_at,DTYMK,1841,1
203282_at,GBE1,2632,1
203283_s_at,HS2ST1,9653,1
203284_s_at,HS2ST1,9653,1
203285_s_at,HS2ST1,9653,1
203295_s_at,ATP1A2,477,0
203296_s_at,ATP1A2,477,0
203302_at,DCK,1633,1
203306_s_at,SLC35A1,10559,1
203331_s_at,INPP5D,3635,1
203332_s_at,INPP5D,3635,1
203335_at,PHYH,5264,1
203339_at,SLC25A12,8604,1
203340_s_at,SLC25A12,8604,1
203343_at,UGDH,7358,1
203371_s_at,NDUFB3,4709,1
203385_at,DGKA,1606,1
203392_s_at,CTBP1,1487,1
203397_s_at,GALNT3,2591,1
203398_s_at,GALNT3,2591,0
203401_at,PRPS2,5634,1
203419_at,KMT2B,9757,1
203423_at,RBP1,5947,1
203446_s_at,OCRL,4952,1
203452_at,B3GAT3,26229,0
203455_s_at,SAT1,6303,1
203458_at,SPR,6697,1
203467_at,PMM1,5372,1
203472_s_at,SLCO2B1,11309,0
