#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
201311_s_at	242.44	P
201312_s_at	578.78	P
201313_at	280.47	P
201314_at	297.14	P
201315_x_at	2135.5	P
201316_at	279.88	P
201317_s_at	3030.78	P
201318_s_at	4218.1	P
201319_at	1411.21	P
201320_at	221.52	P
201321_s_at	260.34	P
201322_at	3805.05	P
201323_at	907.32	P
201324_at	1240.6	P
201325_s_at	1055.81	P
201326_at	1140.87	P
201327_s_at	1748.46	P
201328_at	131.65	P
201329_s_at	140.73	P
201330_at	1363.25	P
201331_s_at	462.69	P
201332_s_at	131.14	P
201333_s_at	78.48	A
201334_s_at	960.7	P
201335_s_at	39.47	P
201336_at	1921.83	P
201337_s_at	929.92	P
201338_x_at	1509.13	P
201339_s_at	922.77	P
201340_s_at	437.97	P
201341_at	1181.23	P
201342_at	1236.73	P
201343_at	891.07	P
201344_at	102.75	P
201345_s_at	1427.86	P
201346_at	784.96	P
201347_x_at	907.83	P
201348_at	106.17	P
201349_at	563.98	P
201350_at	518.48	P
201351_s_at	1680.26	P
201352_at	1736.48	P
201353_s_at	139.92	P
201354_s_at	203.09	M
201355_s_at	65.6	A
201356_at	686.22	P
201357_s_at	197.03	P
201358_s_at	2487.29	P
201359_at	1377.2	P
201360_at	1238.43	P
201361_at	748.09	P
201362_at	226.85	P
201363_s_at	271.72	P
201364_s_at	744.26	P
201365_at	523.37	P
201366_at	754.66	P
201367_s_at	50.01	P
201368_at	515.47	P
201369_s_at	79.12	P
201370_s_at	121.01	P
201371_s_at	1446.77	P
201372_s_at	23.13	P
201373_at	512.13	P
201374_x_at	54.52	P
201375_s_at	2603.8	P
201376_s_at	1091.29	P
201377_at	909.4	P
201378_s_at	1248.32	P
201379_s_at	1113.59	P
201380_at	357.99	P
201381_x_at	1882.98	P
201382_at	48.08	P
201383_s_at	334.14	P
201384_s_at	566.82	P
201385_at	3196.59	P
201386_s_at	2350.98	P
201387_s_at	879.5	P
201388_at	718.47	P
201389_at	331.46	P
201390_s_at	2637.87	P
201391_at	879.1	P
201392_s_at	351.02	P
201393_s_at	543.76	P
201394_s_at	526.36	P
201395_at	807.9	P
201396_s_at	364.69	P
201397_at	735.81	P
201398_s_at	3292.48	P
201399_s_at	2430.76	P
201400_at	2681.36	P
201401_s_at	159.71	P
201402_at	97.96	A
201403_s_at	1251.93	P
201404_x_at	285.78	P
201405_s_at	1140.63	P
201406_at	6830.78	P
201407_s_at	413.23	P
201408_at	423.61	P
201409_s_at	542.65	P
201410_at	825.44	P
201411_s_at	728.89	P
201412_at	667.94	P
201413_at	588.96	P
201414_s_at	736.02	P
201415_at	777.59	P
201416_at	311.69	P
201417_at	807.9	P
201418_s_at	189.35	P
201419_at	449.29	P
201420_s_at	518.44	P
201421_s_at	458.19	P
201422_at	282.87	P
201423_s_at	986.45	P
201424_s_at	542.87	P
201425_at	202.4	P
201426_s_at	8181.05	P
201427_s_at	9.62	A
201428_at	23.89	A
201429_s_at	10314.76	P
201430_s_at	28.58	A
201431_s_at	38.33	A
201432_at	763.56	P
201433_s_at	1167.87	P
201434_at	722.27	P
201435_s_at	1166.83	P
201436_at	200.41	P
201437_s_at	541.28	P
201438_at	24.63	A
201439_at	187.14	P
201440_at	483.87	P
201441_at	1711.49	P
201442_s_at	20.6	A
201443_s_at	1523.77	P
201444_s_at	896.38	P
201445_at	1305.17	P
201446_s_at	564.87	P
201447_at	260.52	P
201448_at	416.84	P
201449_at	116.48	P
201450_s_at	266.03	P
201451_x_at	21.66	A
201452_at	112	P
201453_x_at	2386.92	P
201454_s_at	1510.71	P
201455_s_at	889.15	P
201456_s_at	1513.28	P
201457_x_at	3312.62	P
201458_s_at	1929.41	P
201459_at	1982.44	P
201460_at	367.5	P
201461_s_at	149.7	P
201462_at	686.22	P
201463_s_at	2716.18	P
201464_x_at	631.96	P
201465_s_at	251.35	P
201466_s_at	133.58	P
201467_s_at	1018.81	P
201468_s_at	2006.6	P
201469_s_at	754.3	P
201470_at	2182.69	P
201471_s_at	1116	P
201472_at	1745.74	P
201473_at	118.81	P
201474_s_at	759.08	P
201475_x_at	906.19	P
201476_s_at	1876.05	P
201477_s_at	2445.4	P
201478_s_at	867.78	P
201479_at	1400.25	P
201480_s_at	359.66	P
201481_s_at	624.24	P
201482_at	682.41	P
201483_s_at	921.88	P
201484_at	279.14	P
201485_s_at	1054.02	P
201486_at	991.35	P
201487_at	507.66	P
201488_x_at	1945.31	P
201489_at	1316.32	P
201490_s_at	1303.62	P
201491_at	1476.2	P
201492_s_at	12187.61	P
201493_s_at	960.96	P
201494_at	794.59	P
201495_x_at	44.28	A
201496_x_at	19.41	A
201497_x_at	45.11	A
201498_at	467.8	P
201499_s_at	905.87	P
201500_s_at	856.87	P
201501_s_at	503.36	P
201502_s_at	500.59	P
201503_at	1815.41	P
201504_s_at	759.73	P
201505_at	626.15	P
201506_at	6593.06	P
201507_at	1562.32	P
201508_at	1214.62	P
201509_at	533.97	P
201510_at	29.57	A
201511_at	625.53	P
201512_s_at	470.56	P
201513_at	155.68	P
201514_s_at	1132.68	P
201515_s_at	1299.69	P
201516_at	838.25	P
201517_at	441.11	P
201518_at	2516.67	P
201519_at	667.95	P
201520_s_at	1189.92	P
201521_s_at	419.08	P
201522_x_at	720.63	P
201523_x_at	1291.14	P
201524_x_at	2290.54	P
201525_at	27.13	A
201526_at	572.28	P
201527_at	1478.33	P
201528_at	2572.51	P
201529_s_at	1416.68	P
201530_x_at	6985.19	P
201531_at	152.94	P
201532_at	2333.69	P
201533_at	1050.71	P
201534_s_at	258.13	P
201535_at	291.26	P
201536_at	469.24	P
201537_s_at	357.14	P
201538_s_at	232.07	P
